year;wildlands;Wildland;protWoodlands;unprotectedForest;Woodland;futureAgOrUnprotForest;farmland;developed;waterAndWetlands;;;;
1940;0.001;0.04;0.105761177;0.664062943;30.7929648;0;0.107662535;0.046837017;0.052;;0.04;30.7929648;831.4100496
1950;0.004;0.16;0.109597187;0.693148425;32.10982448;0;0.101600454;0.051706317;0.052;;0.16;32.10982448;866.965261
1960;0.007;0.28;0.112154527;0.705026006;32.68722132;0;0.086923341;0.058339515;0.052;;0.28;32.68722132;882.5549756
1970;0.01;0.4;0.113859421;0.740194467;34.16215552;0;0.071443842;0.065735346;0.052;;0.4;34.16215552;922.378199
1980;0.013;0.52;0.114996016;0.734820918;33.99267736;0;0.056147715;0.068592327;0.052;;0.52;33.99267736;917.8022887
1990;0.016;0.64;0.117269208;0.671099875;31.53476332;0;0.071348417;0.063433772;0.052;;0.64;31.53476332;851.4386096
2001;0.019;0.76;0.149634604;0.622495136;30.8851896;0;0.069326304;0.086964406;0.052;;0.76;30.8851896;833.9001192
2010;0.022;0.88;0.205;0.59;31.8;0.0005;0.0653;0.091;0.052;;0.88;31.8;858.6
2020;0.03;1.29;0.19;0.58;30.31;;0.06;0.1;;;1.2;30.8;831.6
